Number,District,Total Population,Men,Women,German,Total Foreigners,EU Foreigners,Non-EU Foreigners
1,Altstadt,4220,2055,2165,2662,1558,658,900
2,Innenstadt,6771,3310,3461,3569,3202,1304,1898
3,Bahnhofsviertel,3686,1385,2301,1856,1830,758,1072
4,Westend-Süd,19881,10141,9740,13960,5921,2683,3238
5,Westend-Nord,10193,5249,4944,7284,2909,1010,1899
6,Nordend-West,31235,16099,15136,24529,6706,3200,3506
7,Nordend-Ost,22854,11814,11040,17604,5250,2355,2895
8,Ostend,30446,15622,14824,21308,9138,3889,5249
9,Bornheim,30799,16307,14492,23156,7643,3270,4373
10,Gutleutviertel,7164,3264,3900,3845,3319,1131,2188
11,Gallus,44047,21036,23011,24993,19054,6654,12400
12,Bockenheim,43121,21766,21355,28255,14866,5219,9647
13,Sachsenhausen-Nord,32734,16843,15891,24465,8269,3695,4574
14,Sachsenhausen-Süd,29665,15297,14368,22068,7597,3268,4329
16,Oberrad,13650,6799,6851,8795,4855,1940,2915
17,Niederrad,29184,14590,14594,18103,11081,4439,6642
18,Schwanheim,20557,10555,10002,15247,5310,1963,3347
19,Griesheim,23442,11077,12365,13316,10126,4357,5769
20,Rödelheim,19679,9931,9748,12539,7140,2769,4371
21,Hausen,7327,3741,3586,4675,2652,754,1898
22,Praunheim,16640,8513,8127,11830,4810,1817,2993
24,Heddernheim,17158,9007,8151,12563,4595,1726,2869
25,Niederursel,17319,8937,8382,11793,5526,1900,3626
26,Ginnheim,17212,8981,8231,12430,4782,1855,2927
27,Dornbusch,18684,9918,8766,14341,4343,1756,2587
28,Eschersheim,15301,7895,7406,11753,3548,1508,2040
29,Eckenheim,14139,7339,6800,9757,4382,1566,2816
30,Preungesheim,15704,8000,7704,11225,4479,1976,2503
31,Bonames,6389,3289,3100,4513,1876,839,1037
32,Berkersheim,3855,1935,1920,2961,894,287,607
33,Riederwald,4925,2488,2437,3485,1440,525,915
34,Seckbach,10446,5299,5147,7312,3134,1314,1820
35,Fechenheim,17560,8343,9217,9732,7828,3515,4313
36,Höchst,16037,7811,8226,9165,6872,3196,3676
37,Nied,19934,9851,10083,12224,7710,3303,4407
38,Sindlingen,8904,4407,4497,5931,2973,1150,1823
39,Zeilsheim,12674,6264,6410,8450,4224,1692,2532
40,Unterliederbach,17158,8531,8627,11286,5872,2281,3591
41,Sossenheim,16245,8203,8042,9995,6250,2555,3695
42,Nieder-Erlenbach,4802,2462,2340,4137,665,317,348
43,Kalbach-Riedberg,22706,11583,11123,17287,5419,1727,3692
44,Harheim,5232,2625,2607,4365,867,395,472
45,Nieder-Eschbach,11902,6150,5752,8848,3054,1188,1866
46,Bergen-Enkheim,17978,9238,8740,14190,3788,1779,2009
47,Frankfurter Berg,8050,4031,4019,5800,2250,824,1426
48,Frankfurt am Main,767609,387981,379628,527602,240007,96307,143700
